Campeonatos;Jogadores;Abates;ADR;Impacto;Rating;Total de Mapas;TK/TM;
Katowice;FalleN;141;1.01;66.4;0.94;9;15.67;2019
Katowice;s1mple;248;1.29;81.5;1.27;11;22.55;2019
Katowice;Kscerato;107;1.07;67.3;0.94;7;15.29;2019
Katowice;Art;102;0.91;64.2;1.04;7;14.57;2019
Katowice;Yuurih;111;1.03;82.3;1.00;7;15.86;2019
Berlim;s1mple;200;1.19;71.9;1.03;10;20.00;2019
Berlim;FalleN;67;0.86;64.6;0.85;5;13.4;2019
Berlim;Kscerato;84;0.97;70.3;0.87;5;16.8;2019
Berlim;Art;71;0.88;64.6;1.08;5;14.2;2019
Berlim;Yuurih;94;1.09;84.0;1.00;5;18.8;2019
Stockholm;FalleN;88;0.98;69.9;0.89;5;17.6;2021
Stockholm;s1mple;250;1.47;93.8;1.5;10;25.0;2021
Stockholm;Kscerato;152;1.15;76.7;1.31;8;19.0;2021
Stockholm;Art;121;0.93;72.6;1.04;8;15.13;2021
Antwerp;FalleN;302;1.08;69.65;1.1;17;17.76;2022
Antwerp;s1mple;262;1.2;81.6;1.3;12;21.83;2022
Antwerp;Kscerato;168;1.01;73.0;1.0;10;16.8;2022
Antwerp;Art;138;0.88;68.8;0.98;10;13.8;2022
Antwerp;Yuurih;182;1.1;79.9;0.96;10;18.2;2022
Rio;FalleN;84;1.02;66.3;1.01;4;21.0;2022
Rio;s1mple;217;1.18;79.1;1.17;10;21.7;2022
Rio;Kscerato;332;1.37;90.95;1.43;15;22.13;2022
Rio;Art;254;1.05;73.7;1.15;15;16.93;2022
Rio;Yuurih;292;1.21;80.75;1.12;15;19.47;2022
